"Date","count","covid_case","covid_trend"
2009-11-09,2531,0,0
2009-11-10,2501,0,0
2009-11-11,2433,0,0
2009-11-12,2371,0,0
2009-11-13,2334,0,0
2009-11-14,1222,0,0
2009-11-15,1057,0,0
2009-11-16,2513,0,0
2009-11-17,2507,0,0
2009-11-18,2447,0,0
2009-11-19,2419,0,0
2009-11-20,2386,0,0
2009-11-21,1163,0,0
2009-11-22,1110,0,0
2009-11-23,2526,0,0
2009-11-24,2444,0,0
2009-11-25,2542,0,0
2009-11-26,2466,0,0
2009-11-27,2486,0,0
2009-11-28,1249,0,0
2009-11-29,1036,0,0
2009-11-30,2441,0,0
2009-12-01,2545,0,0
2009-12-02,2601,0,0
2009-12-03,2434,0,0
2009-12-04,2450,0,0
2009-12-05,1198,0,0
2009-12-06,1111,0,0
2009-12-07,2483,0,0
2009-12-08,2625,0,0
2009-12-09,2475,0,0
2009-12-10,2510,0,0
2009-12-11,2522,0,0
2009-12-12,1284,0,0
2009-12-13,1097,0,0
2009-12-14,2569,0,0
2009-12-15,2542,0,0
2009-12-16,2477,0,0
2009-12-17,1656,0,0
2009-12-18,2440,0,0
2009-12-19,1312,0,0
2009-12-20,1124,0,0
2009-12-21,2655,0,0
2009-12-22,2475,0,0
2009-12-23,2549,0,0
2009-12-24,2378,0,0
2009-12-25,1133,0,0
2009-12-26,1237,0,0
2009-12-27,906,0,0
2009-12-28,2292,0,0
2009-12-29,2409,0,0
2009-12-30,2398,0,0
2009-12-31,2072,0,0
2010-01-01,831,0,0
2010-01-02,1066,0,0
2010-01-03,1104,0,0
2010-01-04,960,0,0
2010-01-05,1984,0,0
2010-01-06,2185,0,0
2010-01-07,2272,0,0
2010-01-08,2356,0,0
2010-01-09,1286,0,0
2010-01-10,1120,0,0
2010-01-11,2605,0,0
2010-01-12,2496,0,0
2010-01-13,2540,0,0
2010-01-14,2410,0,0
2010-01-15,2583,0,0
2010-01-16,1340,0,0
2010-01-17,1141,0,0
2010-01-18,2532,0,0
2010-01-19,2594,0,0
2010-01-20,2596,0,0
2010-01-21,2562,0,0
2010-01-22,2603,0,0
2010-01-23,1362,0,0
2010-01-24,1104,0,0
2010-01-25,2541,0,0
2010-01-26,2653,0,0
2010-01-27,2651,0,0
2010-01-28,2682,0,0
2010-01-29,2679,0,0
2010-01-30,1401,0,0
2010-01-31,1180,0,0
2010-02-01,2700,0,0
2010-02-02,2640,0,0
2010-02-03,2581,0,0
2010-02-04,2577,0,0
2010-02-05,2492,0,0
2010-02-06,1455,0,0
2010-02-07,1077,0,0
2010-02-08,2670,0,0
2010-02-09,2452,0,0
2010-02-10,2528,0,0
2010-02-11,2315,0,0
2010-02-12,2372,0,0
2010-02-13,1111,0,0
2010-02-14,986,0,0
2010-02-15,1085,0,0
2010-02-16,2565,0,0
2010-02-17,2622,0,0
2010-02-18,2698,0,0
2010-02-19,2539,0,0
2010-02-20,1373,0,0
2010-02-21,1162,0,0
